# tracer: function
#
# function latency trace v1.1.5 on 2.6.39
# --------------------------------------------------------------------
# latency: 0 us, #59981/96762, CPU#0 | (M:preempt VP:0, KP:0, SP:0 HP:0 #P:1)
#    -----------------
#    | task: -0 (uid:0 nice:0 policy:0 rt_prio:0)
#    -----------------
#
#                  _------=> CPU#            
#                 / _-----=> irqs-off        
#                | / _----=> need-resched    
#                || / _---=> hardirq/softirq 
#                ||| / _--=> preempt-depth   
#                |||| /     delay             
#  cmd     pid   ||||| time  |   caller      
#     \   /      |||||  \    |   /           
      sh-1       0d.h. 25360634us+: _raw_spin_lock <-scheduler_tick
      sh-1       0d.h1 25360638us+: update_rq_clock.part.124 <-scheduler_tick
      sh-1       0d.h1 25360642us+: update_cpu_load <-scheduler_tick
      sh-1       0d.h1 25360646us+: task_tick_fair <-scheduler_tick
      sh-1       0d.h1 25360649us+: update_curr <-task_tick_fair
      sh-1       0d.h1 25360653us+: update_min_vruntime <-update_curr
      sh-1       0d.h1 25360657us+: cpuacct_charge <-update_curr
      sh-1       0d.h1 25360660us+: __rcu_read_lock <-cpuacct_charge
      sh-1       0d.h1 25360663us+: __rcu_read_unlock <-cpuacct_charge
      sh-1       0d.h1 25360667us+: update_cfs_load <-task_tick_fair
      sh-1       0d.h1 25360670us+: update_cfs_shares <-task_tick_fair
      sh-1       0d.h1 25360674us+: _raw_spin_unlock <-scheduler_tick
      sh-1       0d.h. 25360678us+: run_posix_cpu_timers <-update_process_times
      sh-1       0d.h. 25360682us+: profile_tick <-tick_sched_timer
      sh-1       0d.h. 25360685us+: hrtimer_forward <-tick_sched_timer
      sh-1       0d.h. 25360690us+: _raw_spin_lock <-__run_hrtimer
      sh-1       0d.h1 25360693us+: enqueue_hrtimer <-__run_hrtimer
      sh-1       0d.h1 25360696us+: _raw_spin_lock_irqsave <-debug_object_activate.part.2
      sh-1       0d.h2 25360701us+: _raw_spin_unlock_irqrestore <-debug_object_activate.part.2
      sh-1       0d.h1 25360706us+: _raw_spin_unlock <-hrtimer_interrupt
      sh-1       0d.h. 25360710us+: tick_program_event <-hrtimer_interrupt
      sh-1       0d.h. 25360713us+: tick_dev_program_event <-tick_program_event
      sh-1       0d.h. 25360719us+: ktime_get <-tick_dev_program_event
      sh-1       0d.h. 25360724us+: clockevents_program_event <-tick_dev_program_event
      sh-1       0d.h. 25360728us+: lapic_next_event <-clockevents_program_event
      sh-1       0d.h. 25360731us+: native_apic_mem_write <-lapic_next_event
      sh-1       0d.h. 25360741us+: irq_exit <-smp_apic_timer_interrupt
      sh-1       0d..1 25360745us+: do_softirq <-irq_exit
      sh-1       0d... 25360749us+: __do_softirq <-do_softirq
      sh-1       0d... 25360805us+: __local_bh_disable <-__do_softirq
      sh-1       0..s. 25360812us+: run_timer_softirq <-__do_softirq
      sh-1       0..s. 25360815us+: hrtimer_run_pending <-run_timer_softirq
      sh-1       0..s. 25360819us+: _raw_spin_lock_irq <-run_timer_softirq
      sh-1       0d.s1 25360823us+: _raw_spin_unlock_irq <-run_timer_softirq
      sh-1       0..s. 25360827us+: rcu_bh_qs <-__do_softirq
      sh-1       0..s. 25360831us+: rcu_process_callbacks <-__do_softirq
      sh-1       0..s. 25360834us+: __rcu_process_callbacks <-rcu_process_callbacks
      sh-1       0..s. 25360837us+: rcu_process_gp_end.isra.10 <-__rcu_process_callbacks
      sh-1       0..s. 25360842us+: check_for_new_grace_period.isra.12 <-__rcu_process_callbacks
      sh-1       0..s. 25360847us+: __rcu_process_callbacks <-rcu_process_callbacks
      sh-1       0..s. 25360850us+: rcu_process_gp_end.isra.10 <-__rcu_process_callbacks
      sh-1       0..s. 25360854us+: check_for_new_grace_period.isra.12 <-__rcu_process_callbacks
      sh-1       0..s. 25360858us+: __rcu_process_callbacks <-rcu_process_callbacks
      sh-1       0..s. 25360861us+: rcu_process_gp_end.isra.10 <-__rcu_process_callbacks
      sh-1       0..s. 25360864us+: check_for_new_grace_period.isra.12 <-__rcu_process_callbacks
      sh-1       0..s. 25360868us+: _raw_spin_lock_irqsave <-__rcu_process_callbacks
      sh-1       0d.s1 25360874us+: rcu_report_qs_rnp <-__rcu_process_callbacks
      sh-1       0d.s1 25360878us+: rcu_report_qs_rsp <-rcu_report_qs_rnp
      sh-1       0d.s1 25360883us+: rcu_start_gp <-rcu_report_qs_rsp
      sh-1       0d.s1 25360887us+: _raw_spin_unlock_irqrestore <-rcu_start_gp
      sh-1       0..s. 25360897us+: file_free_rcu <-__rcu_process_callbacks
      sh-1       0..s. 25360902us+: kmem_cache_free <-file_free_rcu
      sh-1       0..s. 25360907us+: _raw_spin_lock_irqsave <-__debug_check_no_obj_freed
      sh-1       0d.s1 25360911us+: _raw_spin_unlock_irqrestore <-__debug_check_no_obj_freed
      sh-1       0..s. 25360916us+: __slab_free <-kmem_cache_free
      sh-1       0d.s. 25360920us+: bit_spin_lock.constprop.66 <-__slab_free
      sh-1       0d.s1 25360924us+: free_debug_processing <-__slab_free
      sh-1       0d.s1 25360928us+: check_slab <-free_debug_processing
      sh-1       0d.s1 25360931us+: slab_pad_check.part.43 <-check_slab
      sh-1       0d.s1 25360935us+: page_address <-slab_pad_check.part.43
      sh-1       0d.s1 25360940us+: check_valid_pointer.isra.41 <-free_debug_processing
      sh-1       0d.s1 25360943us+: page_address <-check_valid_pointer.isra.41
      sh-1       0d.s1 25360947us+: on_freelist <-free_debug_processing
      sh-1       0d.s1 25360951us+: page_address <-on_freelist
      sh-1       0d.s1 25360954us+: page_address <-on_freelist
      sh-1       0d.s1 25360957us+: page_address <-on_freelist
      sh-1       0d.s1 25360961us+: page_address <-on_freelist
      sh-1       0d.s1 25360964us+: page_address <-on_freelist
      sh-1       0d.s1 25360967us+: page_address <-on_freelist
      sh-1       0d.s1 25360970us+: page_address <-on_freelist
      sh-1       0d.s1 25360973us+: page_address <-on_freelist
      sh-1       0d.s1 25360977us+: page_address <-on_freelist
      sh-1       0d.s1 25360980us+: page_address <-on_freelist
      sh-1       0d.s1 25360983us+: page_address <-on_freelist
      sh-1       0d.s1 25360986us+: page_address <-on_freelist
      sh-1       0d.s1 25360990us+: page_address <-on_freelist
      sh-1       0d.s1 25360993us+: page_address <-on_freelist
      sh-1       0d.s1 25360996us+: page_address <-on_freelist
      sh-1       0d.s1 25360999us+: page_address <-on_freelist
      sh-1       0d.s1 25361003us+: page_address <-on_freelist
      sh-1       0d.s1 25361008us+: check_object <-free_debug_processing
      sh-1       0d.s1 25361012us+: check_bytes_and_report <-check_object
      sh-1       0d.s1 25361016us+: check_bytes_and_report <-check_object
      sh-1       0d.s1 25361020us+: page_address <-check_object
      sh-1       0d.s1 25361023us+: set_track <-free_debug_processing
      sh-1       0d.s1 25361028us+: init_object <-free_debug_processing
      sh-1       0d.s1 25361031us+: memset <-init_object
      sh-1       0d.s1 25361036us+: memset <-init_object
      sh-1       0d.s1 25361040us+: __bit_spin_unlock.constprop.65 <-__slab_free
      sh-1       0..s. 25361051us+: rcu_bh_qs <-__do_softirq
      sh-1       0d.s. 25361055us+: __local_bh_enable <-__do_softirq
      sh-1       0d..1 25361060us+: rcu_irq_exit <-irq_exit
      sh-1       0d..1 25361065us+: idle_cpu <-irq_exit
      sh-1       0.... 25361072us+: __wake_up <-put_ldisc
      sh-1       0.... 25361075us+: _raw_spin_lock_irqsave <-__wake_up
      sh-1       0d..1 25361080us+: __wake_up_common <-__wake_up
